id,age
NDARINVYBPN1YEU_baselineYear1Arm1,110
NDARINVRDJX9GRE_baselineYear1Arm1,125
NDARINVY3EWHNRF_2YearFollowUpYArm1,156
NDARINVXHU70DR0_2YearFollowUpYArm1,152
NDARINVT5G6HNMZ_2YearFollowUpYArm1,130
NDARINVT5G6HNMZ_baselineYear1Arm1,108
NDARINVTX6DMC9H_2YearFollowUpYArm1,139
NDARINVVVTG7PLK_baselineYear1Arm1,130
NDARINVX43TTKW0_baselineYear1Arm1,128
NDARINVRCFHLNK7_baselineYear1Arm1,112
NDARINVR547JUTN_baselineYear1Arm1,122
NDARINVP74XG4NJ_baselineYear1Arm1,127
NDARINVKXFTPJH6_2YearFollowUpYArm1,146
NDARINVLT2EULFN_baselineYear1Arm1,131
NDARINVMDXW4Y3V_baselineYear1Arm1,111
NDARINVMG8EAHTW_baselineYear1Arm1,108
NDARINVMW03YLYP_baselineYear1Arm1,124
NDARINVNDCR1NEX_2YearFollowUpYArm1,154
NDARINVNVY8KZHN_2YearFollowUpYArm1,154
NDARINVHWPUPM4D_baselineYear1Arm1,121
NDARINVHX2U1J11_baselineYear1Arm1,111
NDARINVK1YTJYND_2YearFollowUpYArm1,134
NDARINVYBKC8W12_baselineYear1Arm1,129
NDARINVRMU6AKL2_baselineYear1Arm1,117
NDARINVT0JW7H6Z_2YearFollowUpYArm1,134
NDARINVY3P99M8A_baselineYear1Arm1,115
NDARINVTF8HPRGG_baselineYear1Arm1,116
NDARINVU9C9ZMKM_2YearFollowUpYArm1,138
NDARINVUH4F3Z71_2YearFollowUpYArm1,144
NDARINVUPPU9A5W_baselineYear1Arm1,110
NDARINVURZU1N9V_2YearFollowUpYArm1,142
NDARINVV394F6F7_baselineYear1Arm1,108
NDARINVVFA81J3D_baselineYear1Arm1,128
NDARINVX1M23RL5_baselineYear1Arm1,124
NDARINVRCFHLNK7_2YearFollowUpYArm1,134
NDARINVP5B2AW86_baselineYear1Arm1,122
NDARINVKHVXZ64U_baselineYear1Arm1,126
NDARINVL46T49EG_2YearFollowUpYArm1,136
NDARINVLC0NRLKT_baselineYear1Arm1,114
NDARINVLEFHD44M_2YearFollowUpYArm1,136
NDARINVNB6EVP2A_baselineYear1Arm1,125
NDARINVNVF8N71U_baselineYear1Arm1,120
NDARINVJZRV5ANP_2YearFollowUpYArm1,146
NDARINVKA96L5HC_2YearFollowUpYArm1,148
NDARINVKH4089BE_baselineYear1Arm1,110
